,species,density
486,Chrysophyllum,0.74
487,Chrysophyllum argenteum,0.78
488,Chrysophyllum cainito,0.69
489,Chrysophyllum marginatum,0.7
490,Chrysophyllum oliviforme,0.77
491,Cinchona,0.54
492,Cinchona pubescens,0.54
493,Cinnamomum,0.51
494,Cinnamomum burmannii,0.49
495,Cinnamomum camphora,0.51
496,Cinnamomum cassia,0.54
497,Cinnamomum elongatum,0.51
498,Cinnamomum verum,0.5
499,Citharexylum,0.74
500,Citharexylum fruticosum,0.78
501,Citharexylum spinosum,0.7
502,Citrus,0.74
503,Citrus medica,0.7
504,Citrus sinensis,0.78
505,Clarisia,0.57
506,Clarisia racemosa,0.57
507,Clethra,0.49
508,Clethra scabra,0.49
509,Cleyera,0.55
510,Cleyera japonica,0.55
511,Clusia,0.81
512,Clusia clusioides,0.9
513,Clusia gundlachii,0.9
514,Clusia rosea,0.64
515,Coccoloba,0.76
516,Coccoloba acuminata,0.58
517,Coccoloba diversifolia,0.8
518,Coccoloba pubescens,1.0
519,Coccoloba swartzii,0.7
520,Coccoloba uvifera,0.7
521,Cochlospermum,0.22
522,Cochlospermum vitifolium,0.22
523,Cocos,0.52
524,Cocos nucifera,0.52
525,Coffea,0.62
526,Coffea arabica,0.62
527,Cojoba,0.65
528,Cojoba arborea,0.65
529,Cola,0.51
530,Cola acuminata,0.51
531,Colubrina,0.75
532,Colubrina arborescens,0.7
533,Colubrina elliptica,0.8
534,Colubrina glandulosa,0.74
535,Commersonia,0.4
536,Commersonia bartramia,0.4
537,Conocarpus,0.85
538,Conocarpus erectus,0.85
539,Copaifera,0.55
540,Copaifera officinalis,0.6
541,Cordia,0.61
542,Cordia alliodora,0.53
543,Cordia americana,0.72
544,Cordia borinquensis,0.7
545,Cordia collococca,0.42
546,Cordia dichotoma,0.45
547,Cordia gerascanthus,0.75
548,Cordia myxa,0.36
549,Cordia sebestena,0.7
550,Cordia subcordata,0.57
551,Cordia sulcata,0.6
552,Cordia trichotoma,0.6
553,Cornus,0.61
554,Cornus controversa,0.54
555,Cornus florida,0.64
556,Cornus nuttallii,0.58
