,species,density
1794,Senna racemosa,0.54
1795,Senna siamea,0.65
1796,Senna spectabilis,0.48
1797,Sequoia,0.37
1798,Sequoia sempervirens,0.37
1799,Sesbania,0.42
1800,Sesbania grandiflora,0.41
1801,Sesbania sesban,0.43
1802,Sideroxylon,0.89
1803,Sideroxylon foetidissimum,0.9
1804,Sideroxylon portoricense,0.92
1805,Sideroxylon salicifolium,0.85
1806,Simaba,0.47
1807,Simaba cedron,0.47
1808,Simarouba,0.85
1809,Simarouba tulae,0.85
1810,Sloanea,0.83
1811,Sloanea berteriana,0.8
1812,Sloanea guianensis,0.82
1813,Sloanea monosperma,0.88
1814,Solanum,0.54
1815,Solanum aphyodendron,0.55
1816,Solanum pseudoquina,0.53
1817,Sonneratia,0.51
1818,Sonneratia alba,0.51
1819,Sophora,0.64
1820,Sophora japonica,0.64
1821,Sorbus,0.63
1822,Sorbus aria,0.64
1823,Sorbus aucuparia,0.63
1824,Sorbus torminalis,0.61
1825,Sorocea,0.61
1826,Sorocea bonplandii,0.61
1827,Sparattosperma,0.57
1828,Sparattosperma leucanthum,0.57
1829,Spathodea,0.22
1830,Spathodea campanulata,0.22
1831,Spondias,0.33
1832,Spondias dulcis,0.3
1833,Spondias mombin,0.39
1834,Spondias pinnata,0.29
1835,Spondias purpurea,0.33
1836,Staphylea,0.34
1837,Staphylea occidentalis,0.34
1838,Stenocarpus,0.67
1839,Stenocarpus salignus,0.68
1840,Stenocarpus sinuatus,0.65
1841,Stenostomum,0.8
1842,Stenostomum resinosum,0.8
1843,Sterculia,0.55
1844,Sterculia apetala,0.38
1845,Sterculia foetida,0.45
1846,Sterculia quadrifida,0.32
1847,Stifftia,0.62
1848,Stifftia parviflora,0.62
1849,Strychnos,0.65
1850,Strychnos spinosa,0.65
1851,Stylogyne,0.69
1852,Swartzia,0.9
1853,Swartzia myrtifolia,0.9
1854,Sweetia,0.9
1855,Sweetia fruticosa,0.9
1856,Swietenia,0.64
1857,Swietenia macrophylla,0.53
1858,Swietenia mahogani,0.75
1859,Syagrus,0.37
1860,Syagrus romanzoffiana,0.37
1861,Symplocos,0.8
1862,Symplocos martinicensis,0.8
1863,Syncarpia,0.77
1864,Syncarpia glomerulifera,0.77
1865,Syzygium,0.67
1866,Syzygium angophoroides,0.8
1867,Syzygium australe,0.63
1868,Syzygium crebrinerve,0.63
1869,Syzygium cumini,0.56
1870,Syzygium forte,0.62
1871,Syzygium francisii,0.61
1872,Syzygium grande,0.71
1873,Syzygium jambos,0.7
1874,Syzygium luehmannii,0.64
1875,Syzygium malaccense,0.56
1876,Syzygium oleosum,0.88
1877,Syzygium smithii,0.64
1878,Tabebuia,0.57
1879,Tabebuia angustata,0.89
1880,Tabebuia aurea,0.64
1881,Tabebuia avellanedae,0.81
1882,Tabebuia billbergii,0.92
1883,Tabebuia cassinoides,0.39
1884,Tabebuia chrysantha,1.0
1885,Tabebuia heterophylla,0.55
1886,Tabebuia impetiginosa,0.92
1887,Tabebuia rosea,0.55
1888,Tabebuia schumanniana,0.9
1889,Tabebuia serratifolia,0.92
1890,Tabernaemontana,0.75
1891,Tabernaemontana divaricata,0.75
1892,Tachigali,0.52
1893,Tachigali multijuga,0.52
1894,Tamarindus,0.98
1895,Tamarindus indica,0.98
1896,Tamarix,0.59
1897,Tamarix aphylla,0.59
1898,Tapirira,0.45
1899,Tapirira guianensis,0.45
1900,Taxodium,0.42
1901,Taxodium distichum,0.42
1902,Taxus,0.54
1903,Taxus baccata,0.55
1904,Taxus brevifolia,0.6
1905,Taxus cuspidata,0.47
1906,Tecoma,0.47
1907,Tecoma stans,0.47
1908,Tectona,0.6
1909,Tectona grandis,0.6
1910,Terminalia,0.53
1911,Terminalia ivorensis,0.44
1912,Terminalia kaernbachii,0.49
1913,Terminalia microcarpa,0.52
1914,Terminalia oblonga,0.76
1915,Terminalia superba,0.46
1916,Tetragastris,0.71
1917,Tetragastris balsamifera,0.67
1918,Theobroma,0.42
1919,Theobroma cacao,0.42
1920,Thespesia,0.43
1921,Thespesia lampus,0.38
1922,Thespesia populnea,0.47
1923,Thouinia,0.9
1924,Thouinia striata,0.9
1925,Thuja,0.3
1926,Thuja occidentalis,0.29
1927,Thuja plicata,0.31
1928,Tilia,0.39
1929,Tilia americana,0.32
1930,Tilia amurensis,0.39
1931,Tilia cordata,0.42
1932,Tilia platyphyllos,0.42
1933,Tilia tomentosa,0.32
1934,Tilia x vulgaris,0.48
1935,Timonius,0.55
1936,Timonius timon,0.55
1937,Tipuana,0.6
1938,Tipuana tipu,0.6
1939,Toona,0.38
1940,Toona ciliata,0.38
1941,Torreya,0.42
1942,Torreya grandis,0.42
1943,Trattinnickia,0.45
1944,Trattinnickia lawrancei,0.45
1945,Trema,0.4
1946,Trema micrantha,0.35
1947,Trema micranthum,0.5
1948,Trema orientalis,0.34
1949,Triadica,0.5
1950,Triadica sebifera,0.5
1951,Trichanthera,0.45
1952,Trichanthera gigantea,0.45
1953,Trichilia,0.65
1954,Trichilia catigua,0.69
1955,Trichilia hirta,0.55
1956,Trichilia pallida,0.7
1957,Trichospermum,0.32
1958,Trichospermum richii,0.32
1959,Triplaris,0.51
1960,Triplaris americana,0.49
1961,Triplaris cumingiana,0.52
1962,Tristaniopsis,0.78
1963,Tristaniopsis conferta,0.75
1964,Tristaniopsis laurina,0.81
1965,Trophis,0.66
1966,Trophis racemosa,0.66
1967,Tsuga,0.41
1968,Tsuga canadensis,0.38
1969,Tsuga heterophylla,0.42
1970,Tsuga mertensiana,0.42
1971,Ulmus,0.55
1972,Ulmus alata,0.6
1973,Ulmus americana,0.46
1974,Ulmus crassifolia,0.59
1975,Ulmus davidiana,0.47
1976,Ulmus glabra,0.55
1977,Ulmus laciniata,0.46
1978,Ulmus parvifolia,0.75
1979,Ulmus procera,0.55
1980,Ulmus pumila,0.54
1981,Ulmus rubra,0.48
1982,Ulmus thomasii,0.57
1983,Umbellularia,0.51
1984,Umbellularia californica,0.51
1985,Urera,0.28
1986,Urera baccifera,0.17
1987,Urera caracasana,0.38
1988,Vachellia,0.8
1989,Vachellia macracantha,0.73
1990,Vachellia nilotica,0.86
1991,Veitchia,0.37
1992,Veitchia merrillii,0.37
1993,Ventilago,0.98
1994,Ventilago viminalis,0.98
1995,Viburnum,0.72
1996,Viburnum lantana,0.72
1997,Virola,0.48
1998,Vitex,0.57
1999,Vitex cymosa,0.56
2000,Vitex divaricata,0.62
2001,Vitex glabrata,0.58
2002,Vitex negundo,0.67
2003,Volkameria,0.61
2004,Volkameria glabrum,0.61
2005,Washingtonia,0.37
2006,Washingtonia filifera,0.37
2007,Washingtonia robusta,0.37
2008,Wollemia,0.47
2009,Wollemia nobilis,0.47
2010,Xanthostemon,0.88
2011,Xanthostemon chrysanthus,0.88
2012,Ximenia,0.83
2013,Ximenia americana,0.83
2014,Xylocarpus,0.59
2015,Xylocarpus granatum,0.57
2016,Xylocarpus moluccensis,0.61
2017,Xylomelum,0.57
2018,Xylomelum pyriforme,0.57
2019,Xylopia,0.7
2020,Xylopia brasiliensis,0.7
2021,Zanthoxylum,0.65
2022,Zanthoxylum caribaeum,0.76
2023,Zanthoxylum fagara,0.65
2024,Zanthoxylum flavum,0.78
2025,Zanthoxylum martinicense,0.57
2026,Zanthoxylum rhoifolium,0.5
2027,Zelkova,0.66
2028,Zelkova formosana,0.8
2029,Zelkova schneideriana,0.67
2030,Zelkova serrata,0.52
2031,Zeyheria,0.77
2032,Zeyheria tuberculosa,0.77
2033,Ziziphus,0.71
2034,Ziziphus jujuba,0.8
2035,Ziziphus mauritiana,0.62
2036,Zollernia,1.05
2037,Zollernia ilicifolia,1.05
2038,Zygia,0.71
2039,Zygia longifolia,0.71
